champ_id,champ_name
0,Aatrox
1,Ahri
2,Akali
3,Alistar
4,Amumu
5,Anivia
6,Annie
7,Ashe
8,Aurelion Sol
9,Azir
10,Bard
11,Blitzcrank
12,Brand
13,Braum
14,Caitlyn
15,Camille
16,Cassiopeia
17,Cho'Gath
18,Corki
19,Darius
20,Diana
21,Dr. Mundo
22,Draven
23,Ekko
24,Elise
25,Evelynn
26,Ezreal
27,Fiddlesticks
28,Fiora
29,Fizz
30,Galio
31,Gangplank
32,Garen
33,Gnar
34,Gragas
35,Graves
36,Hecarim
37,Heimerdinger
38,Illaoi
39,Irelia
40,Ivern
41,Janna
42,Jarvan IV
43,Jax
44,Jayce
45,Jhin
46,Jinx
47,Kai'Sa
48,Kalista
49,Karma
50,Karthus
51,Kassadin
52,Katarina
53,Kayle
54,Kayn
55,Kennen
56,Kha'Zix
57,Kindred
58,Kled
59,Kog'Maw
60,LeBlanc
61,Lee Sin
62,Leona
63,Lissandra
64,Lucian
65,Lulu
66,Lux
67,Malphite
68,Malzahar
69,Maokai
70,Master Yi
71,Miss Fortune
72,Mordekaiser
73,Morgana
74,Nami
75,Nasus
76,Nautilus
77,Neeko
78,Nidalee
79,Nocturne
80,Nunu
81,Olaf
82,Orianna
83,Ornn
84,Pantheon
85,Poppy
86,Pyke
87,Qiyana
88,Quinn
89,Rakan
90,Rammus
91,Rek'Sai
92,Renekton
93,Rengar
94,Riven
95,Rumble
96,Ryze
97,Sejuani
98,Senna
99,Shaco
100,Shen
101,Shyvana
102,Singed
103,Sion
104,Sivir
105,Skarner
106,Sona
107,Soraka
108,Swain
109,Sylas
110,Syndra
111,Tahm Kench
112,Taliyah
113,Talon
114,Taric
115,Teemo
116,Thresh
117,Tristana
118,Trundle
119,Tryndamere
120,Twisted Fate
121,Twitch
122,Udyr
123,Urgot
124,Varus
125,Vayne
126,Veigar
127,Vel'Koz
128,Vi
129,Viktor
130,Vladimir
131,Volibear
132,Warwick
133,Wukong
134,Xayah
135,Xerath
136,Xin Zhao
137,Yasuo
138,Yorick
139,Yuumi
140,Zac
141,Zed
142,Ziggs
143,Zilean
144,Zoe
145,Zyra
