champ_id,champ_name,goldShareAvg,role,num_games,wins
1,Aatrox,0.22668781309801347,general,755,387
2,Ahri,0.23240508379087454,general,263,133
3,Akali,0.22788542520050145,general,399,208
4,Alistar,0.10315069983829804,general,1645,793
5,Amumu,0.170764568,general,4,1
6,Anivia,0.2392880018,general,135,68
7,Annie,0.1474960834,general,5,2
8,Ashe,0.2387018900784575,general,1504,776
9,Aurelion Sol,0.23327532455963296,general,109,67
10,Azir,0.2475656994348696,general,998,490
11,Bard,0.11577121603240748,general,432,222
12,Blitzcrank,0.11486426181249995,general,160,91
13,Brand,0.1603132316470588,general,51,20
14,Braum,0.11151603235774873,general,2594,1275
15,Caitlyn,0.25670529094909056,general,1100,553
16,Camille,0.21550597488453146,general,918,500
17,Cassiopeia,0.23866316264923482,general,784,412
18,Cho'Gath,0.20483519097539535,general,569,282
19,Corki,0.2560755935715483,general,1195,585
20,Darius,0.2314452181818181,general,132,65
21,Diana,0.23287707400000002,general,2,1
22,Dr. Mundo,0.221011205920139,general,288,130
23,Draven,0.2766473708088236,general,136,77
24,Ekko,0.22328759101108672,general,451,229
25,Elise,0.18351248109507529,general,1462,736
26,Evelynn,0.1848798711320755,general,53,27
27,Ezreal,0.2551585424982511,general,2001,984
28,Fiddlesticks,0.10182227392207795,general,77,33
29,Fiora,0.2409495722566137,general,378,183
30,Fizz,0.2201433372348994,general,149,76
31,Galio,0.1846697297859267,general,1009,520
32,Gangplank,0.259954026554023,general,870,462
33,Garen,0.1996056476,general,15,7
34,Gnar,0.21965330961363663,general,1232,604
35,Gragas,0.17126390126138985,general,2173,1127
36,Graves,0.21084800493434347,general,990,471
37,Hecarim,0.20302660397237562,general,181,91
38,Heimerdinger,0.2252333727272727,general,66,32
39,Illaoi,0.23178680253191486,general,47,25
40,Irelia,0.23541324547719872,general,614,306
41,Ivern,0.16952807424581007,general,179,93
42,Janna,0.13180433653353665,general,328,203
43,Jarvan IV,0.17929967846219702,general,1402,717
44,Jax,0.2180390090359476,general,306,146
45,Jayce,0.23887560818987302,general,790,395
46,Jhin,0.23458459539122944,general,1163,584
47,Jinx,0.2765532749126984,general,126,65
48,Kai'Sa,0.2748592225746184,general,851,433
49,Kalista,0.25060739581223623,general,948,514
50,Karma,0.140451773764706,general,1479,678
51,Karthus,0.21507493587234042,general,141,64
52,Kassadin,0.23460422005416684,general,240,115
