team_id,champ_id,wins,num_games
1,82,8,14
1,141,6,9
1,61,14,21
1,65,10,23
1,86,3,11
2,64,0,5
2,62,5,14
2,83,5,15
2,27,5,26
2,119,8,14
3,29,1,5
3,25,2,7
3,97,0,1
3,19,1,7
3,117,1,7
4,112,39,65
4,36,18,26
4,2,3,5
4,65,26,41
4,119,13,23
5,101,18,24
5,36,10,14
5,2,2,3
5,19,17,24
5,119,9,18
6,56,0,2
6,92,5,14
6,97,1,12
6,65,5,14
6,14,16,31
7,97,12,27
7,92,17,35
7,125,10,26
7,65,10,27
7,86,4,7
8,112,14,25
8,25,14,20
8,142,3,3
8,27,9,22
8,4,9,23
9,56,3,8
9,25,8,23
9,66,1,8
9,118,5,10
9,117,16,35
10,141,2,3
10,92,4,14
10,97,9,22
10,19,5,14
10,115,2,3
6,101,4,9
6,58,1,3
6,128,0,1
6,19,3,8
6,119,8,19
8,97,16,34
8,117,14,22
7,64,4,9
7,25,13,33
7,142,0,2
7,14,28,53
3,62,1,4
3,130,2,5
3,4,3,3
9,29,4,7
9,97,17,23
9,72,3,4
9,74,6,12
5,64,7,9
5,62,16,23
5,61,10,13
5,86,4,7
2,97,2,10
2,25,5,19
2,52,1,6
2,65,16,28
2,14,12,29
4,62,11,21
4,66,12,20
4,49,10,17
4,14,38,53
10,22,3,6
10,58,4,16
10,65,4,17
10,4,4,14
6,64,1,3
6,62,2,10
6,2,2,10
4,101,14,23
4,25,24,34
4,61,19,25
4,117,21,29
10,27,3,10
10,119,3,14
3,34,1,1
3,79,1,3
3,67,1,1
3,49,2,2
2,112,6,19
2,92,8,25
2,17,3,8
2,49,5,6
2,4,9,18
8,101,25,41
8,62,1,5
8,19,7,17
8,119,11,26
7,112,17,35
7,121,1,2
7,19,15,28
7,4,4,10
9,36,7,16
9,62,11,19
9,2,3,4
9,49,6,12
1,34,20,28
1,58,5,10
1,64,13,21
1,49,5,7
1,4,14,30
5,29,4,7
5,25,18,28
5,66,3,8
5,74,1,5
2,101,2,7
2,111,3,10
2,58,5,12
3,112,1,2
3,74,2,4
6,36,2,20
6,130,5,14
6,27,4,12
1,36,7,19
1,2,1,3
1,19,17,27
8,92,14,29
8,49,7,10
7,36,3,9
7,2,2,5
7,27,13,29
7,74,9,14
10,34,12,31
10,61,0,2
10,49,7,16
4,123,0,1
4,142,3,6
4,27,17,31
5,65,15,22
5,4,12,22
6,66,0,7
6,4,4,7
7,29,7,11
7,61,9,14
2,89,2,3
2,66,4,13
10,36,6,12
10,25,3,13
10,121,1,2
10,126,0,1
10,86,0,4
4,29,5,5
4,79,9,13
4,19,7,15
1,68,2,3
1,27,26,51
1,119,18,32
8,56,4,6
8,130,11,20
3,66,0,1
3,65,1,7
3,42,1,3
5,32,4,7
5,15,17,30
9,82,14,32
9,92,3,9
2,86,10,14
3,92,0,1
3,144,0,2
9,32,7,9
6,49,5,9
6,74,1,3
8,29,1,2
8,66,3,7
4,86,5,9
1,101,23,40
1,79,11,15
1,14,42,70
7,67,1,4
7,117,16,30
10,89,0,3
10,64,1,9
5,45,8,9
3,32,0,1
3,72,1,2
9,65,7,24
9,19,14,19
9,112,18,36
6,29,2,6
6,15,6,14
1,89,2,2
1,42,12,17
4,68,2,3
2,19,5,11
2,42,0,4
10,70,3,9
10,62,5,13
10,66,1,7
10,14,5,21
8,32,5,12
8,58,2,8
5,112,11,23
5,42,4,4
7,11,9,11
4,130,8,10
7,89,0,2
7,66,5,8
7,42,3,5
5,130,12,20
5,27,4,11
8,86,7,15
8,65,12,23
8,14,18,33
9,47,2,6
2,68,1,2
2,36,2,9
2,2,2,4
2,72,1,3
6,25,7,20
6,10,4,11
10,29,2,4
1,66,3,6
1,15,3,3
8,2,0,1
5,58,5,12
1,77,7,14
1,117,13,25
3,68,0,1
3,27,1,2
3,14,0,2
2,32,3,11
2,79,2,6
2,118,3,5
4,4,22,36
10,74,2,4
6,68,1,2
9,79,6,7
9,144,5,7
9,11,4,7
5,89,0,1
4,32,16,24
3,86,1,4
6,70,9,18
6,79,6,10
2,29,2,4
2,35,15,32
2,125,5,25
10,68,1,2
10,35,8,19
10,60,3,7
10,108,1,1
7,77,11,17
7,49,3,8
6,35,15,24
6,67,0,1
6,60,2,4
1,70,14,22
1,60,2,3
4,77,12,16
4,96,14,25
5,68,0,3
5,60,2,6
5,117,10,19
6,91,1,1
6,32,1,3
6,11,1,1
3,36,0,3
3,10,0,1
9,89,3,3
9,60,3,4
8,68,1,2
8,35,18,41
5,77,7,9
7,79,4,7
7,15,19,30
